,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
488,GROM,2022-03-13,15,15,0,3,6,6,2
489,GRPN,2022-03-13,17,17,0,1,12,6,5
490,GRTS,2022-03-13,20,20,0,1,5,7,5
491,GRWG,2022-03-13,19,19,0,2,9,7,7
492,GS,2022-03-13,17,32,-19,88,20,13,6
493,GSK,2022-03-13,11,20,-8,3,5,2,4
494,GSM,2022-03-13,20,20,0,1,12,10,9
495,GT,2022-03-13,14,16,0,19,5,-2,2
496,GTE,2022-03-13,0,0,0,1,12,10,14
497,GTS,2022-03-13,11,11,0,1,9,9,11
498,GVP,2022-03-13,-8,0,-8,1,3,1,1
499,HAL,2022-03-13,9,19,0,4,7,1,5
500,HAS,2022-03-13,10,16,0,5,-2,-6,-2
501,HBAN,2022-03-13,10,10,0,1,4,6,8
502,HBI,2022-03-13,20,20,0,1,11,9,6
503,HCA,2022-03-13,12,19,0,8,17,16,15
504,HCI,2022-03-13,13,19,-11,8,9,3,4
505,HCP,2022-03-13,0,0,0,1,-2,-4,-5
506,HD,2022-03-13,1,16,-15,22,9,7,7
507,HDB,2022-03-13,15,34,-19,117,-4,-1,4
508,HEC,2022-03-13,5,10,0,2,12,8,12
509,HES,2022-03-13,8,8,0,3,9,9,9
510,HEXO,2022-03-13,-20,0,-20,1,-1,2,2
511,HFC,2022-03-13,20,20,0,1,15,11,9
512,HGEN,2022-03-13,19,19,0,4,14,13,13
513,HIG,2022-03-13,7,7,0,1,12,11,8
514,HIMS,2022-03-13,20,20,0,1,9,8,9
515,HIMX,2022-03-13,19,19,0,1,10,10,8
516,HL,2022-03-13,18,18,0,1,10,12,10
517,HMC,2022-03-13,18,29,-17,131,2,1,8
518,HOG,2022-03-13,7,16,-20,4,5,2,5
519,HOL,2022-03-13,0,0,0,1,3,3,0
520,HOLX,2022-03-13,7,7,0,1,6,8,8
521,HON,2022-03-13,0,20,-19,4,12,11,9
522,HOOD,2022-03-13,0,0,0,5,16,11,10
523,HPE,2022-03-13,7,7,0,1,6,8,7
524,HPQ,2022-03-13,-7,0,-12,5,6,6,5
525,HRB,2022-03-13,-20,0,-20,1,-2,-3,-5
526,HRL,2022-03-13,0,0,0,1,2,3,5
527,HSBC,2022-03-13,0,13,-16,26,-4,-11,-15
528,HSIC,2022-03-13,3,3,0,1,7,7,7
529,HSY,2022-03-13,-1,16,-17,21,9,5,8
530,HTZ,2022-03-13,-2,12,-12,16,6,1,1
531,HUBS,2022-03-13,1,11,-19,11,6,8,11
532,HUDI,2022-03-13,0,0,0,3,5,5,3
533,HUM,2022-03-13,-6,7,-19,2,6,3,5
534,HUSA,2022-03-13,13,19,0,3,29,23,18
535,HUT,2022-03-13,18,18,0,2,16,13,12
536,HUYA,2022-03-13,2,19,-12,4,-3,-5,-2
537,HX,2022-03-13,0,0,0,3,1,1,0
538,HYLN,2022-03-13,4,18,0,4,16,13,13
539,HYMC,2022-03-13,12,15,-8,9,25,25,25
540,HZNP,2022-03-13,17,17,0,1,12,9,6
541,IBEX,2022-03-13,14,14,0,1,3,3,3
542,IBIO,2022-03-13,0,0,0,3,4,2,3
543,IBKR,2022-03-13,17,17,0,1,7,2,4
544,IBM,2022-03-13,20,20,0,1,13,9,10
545,IBN,2022-03-13,-12,16,-17,33,-8,-7,-4
546,ICE,2022-03-13,13,13,0,3,19,17,20
547,ICON,2022-03-13,5,10,0,4,2,3,2
548,IDEX,2022-03-13,15,19,0,18,17,18,19
549,IKNX,2022-03-13,15,40,-27,419,7,2,4
550,IMAX,2022-03-13,2,25,-23,317,12,10,11
551,IMH,2022-03-13,-18,0,-18,1,-2,2,2
552,IMMR,2022-03-13,16,24,-17,264,9,1,3
553,IMMU,2022-03-13,4,4,0,1,4,6,9
554,IMO,2022-03-13,0,16,-9,10,0,2,4
555,IMRA,2022-03-13,20,20,0,1,13,11,9
556,INCY,2022-03-13,-2,0,-12,7,6,5,6
557,INFO,2022-03-13,15,19,-10,7,10,13,14
558,INFY,2022-03-13,15,23,-17,29,11,8,3
559,INMD,2022-03-13,19,19,0,1,0,3,3
560,INO,2022-03-13,5,20,0,4,13,12,12
561,INPX,2022-03-13,7,20,0,3,11,6,4
562,INTC,2022-03-13,4,15,0,7,16,15,17
563,INTU,2022-03-13,10,20,0,2,6,5,3
564,INVA,2022-03-13,3,3,0,1,5,5,8
565,INVH,2022-03-13,0,0,0,1,3,3,1
566,IOVA,2022-03-13,4,19,0,5,1,-3,-2
567,IP,2022-03-13,13,13,0,2,10,5,4
568,IPG,2022-03-13,20,20,0,1,14,9,9
569,IPOD,2022-03-13,0,0,0,1,5,7,6
570,IPOF,2022-03-13,17,17,0,1,18,17,15
571,IPWR,2022-03-13,20,20,0,1,13,12,12
572,IR,2022-03-13,7,7,0,1,7,7,6
573,IRBT,2022-03-13,10,18,0,15,11,6,4
574,IRIX,2022-03-13,-16,0,-16,1,5,10,12
575,IRM,2022-03-13,8,17,0,2,8,9,5
576,ISIG,2022-03-13,0,0,0,13,7,-3,-1
577,ISR,2022-03-13,20,20,0,1,15,11,7
578,ISRG,2022-03-13,20,20,0,1,7,7,8
579,IT,2022-03-13,1,10,-18,7,10,10,8
580,ITP,2022-03-13,-8,0,-8,1,13,9,7
581,IVR,2022-03-13,0,0,0,3,5,5,5
582,JACK,2022-03-13,1,13,-16,32,1,3,-1
583,JAGX,2022-03-13,0,0,0,3,13,15,9
584,JAKK,2022-03-13,0,0,0,3,8,2,3
585,JAMF,2022-03-13,0,0,0,2,8,9,8
586,JAN,2022-03-13,20,20,0,1,11,8,9
587,JBHT,2022-03-13,5,10,0,2,7,6,7
588,JBLU,2022-03-13,0,0,0,15,1,1,2
589,JCI,2022-03-13,0,0,0,1,8,9,9
590,JD,2022-03-13,2,18,-11,13,3,4,4
591,JKHY,2022-03-13,15,15,0,1,10,9,10
592,JKS,2022-03-13,0,20,-19,2,13,11,6
593,JNJ,2022-03-13,0,17,-11,36,-7,-7,0
594,JOB,2022-03-13,0,0,0,3,4,3,3
595,JPM,2022-03-13,2,17,-10,21,3,-4,-2
596,JWN,2022-03-13,1,17,-10,5,2,3,5
597,K,2022-03-13,4,16,-15,5,-1,-2,-3
598,KALA,2022-03-13,-1,17,-20,4,12,9,9
599,KAR,2022-03-13,-10,0,-10,1,8,8,9
600,KEY,2022-03-13,11,15,0,4,18,15,14
601,KEYS,2022-03-13,0,0,0,2,5,5,6
602,KIM,2022-03-13,-15,0,-15,1,8,8,9
603,KIRK,2022-03-13,18,18,0,2,12,8,7
604,KKR,2022-03-13,62,64,0,3930,20,15,23
605,KLIC,2022-03-13,14,14,0,3,7,7,5
606,KMB,2022-03-13,-6,0,-12,2,1,2,3
607,KMX,2022-03-13,18,18,0,1,12,12,11
608,KO,2022-03-13,7,26,-21,71,-12,-2,-4
609,KOD,2022-03-13,18,18,0,1,9,7,7
610,KODK,2022-03-13,2,13,-14,73,5,6,3
611,KOS,2022-03-13,6,18,0,3,5,5,4
612,KPTI,2022-03-13,-4,0,-12,6,5,3,5
613,KR,2022-03-13,-4,19,-11,19,-1,-2,-10
614,KSS,2022-03-13,10,17,-13,18,7,6,6
615,KTOS,2022-03-13,19,19,0,1,11,11,9
616,KTOV,2022-03-13,0,0,0,3,9,8,6
617,KXIN,2022-03-13,4,4,0,4,13,10,7
618,L,2022-03-13,9,19,0,2,7,6,5
619,LAC,2022-03-13,19,19,0,1,9,9,10
620,LAKE,2022-03-13,-1,13,-8,11,12,12,10
621,LAND,2022-03-13,14,14,0,9,19,17,18
622,LAZR,2022-03-13,4,18,0,5,8,6,5
623,LAZY,2022-03-13,16,16,0,1,14,11,9
624,LBRT,2022-03-13,20,20,0,1,9,9,7
625,LC,2022-03-13,0,0,0,1,5,3,7
626,LCID,2022-03-13,19,23,-3,36,33,27,25
627,LDI,2022-03-13,20,20,0,1,5,4,5
628,LDOS,2022-03-13,0,0,0,4,8,7,7
629,LE,2022-03-13,-19,0,-19,1,1,2,4
630,LEA,2022-03-13,20,20,0,35,4,4,7
631,LEAP,2022-03-13,-18,0,-18,1,2,6,4
632,LEE,2022-03-13,0,0,0,1,5,3,2
633,LEVI,2022-03-13,17,17,0,1,11,7,6
634,LGHL,2022-03-13,0,0,0,3,9,7,4
635,LGVN,2022-03-13,0,19,-19,2,12,9,7
636,LITB,2022-03-13,20,20,0,1,17,14,9
637,LJPC,2022-03-13,20,20,0,1,11,7,8
638,LLNW,2022-03-13,20,20,0,1,12,9,8
639,LLY,2022-03-13,10,20,0,2,14,11,11
640,LMB,2022-03-13,-16,0,-16,1,1,2,-1
641,LMFA,2022-03-13,-4,0,-18,5,7,5,3
642,LMND,2022-03-13,0,0,0,2,9,5,6
643,LMT,2022-03-13,-2,17,-14,70,12,1,2
644,LN,2022-03-13,12,12,0,3,12,7,8
645,LOVE,2022-03-13,25,28,0,28,18,15,13
646,LOW,2022-03-13,5,14,0,9,12,7,9
647,LPCN,2022-03-13,17,17,0,1,9,9,10
648,LPX,2022-03-13,20,20,0,1,11,8,4
649,LRCX,2022-03-13,21,25,-11,24,7,7,10
